year,period,5,15,25,35,45,55,65,75,85,95,105,115,125
2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2027,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2028,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2029,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2030,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2031,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2032,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2033,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2034,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2035,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2036,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2037,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2038,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2039,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2040,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2041,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2042,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2043,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2044,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2045,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2046,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2049,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2051,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2052,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2053,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2054,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2055,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2056,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2057,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2058,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2059,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2060,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2061,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2062,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2063,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2064,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2065,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2066,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2067,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2068,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2069,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2070,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2071,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2072,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2073,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2074,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2075,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2076,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2077,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2078,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2079,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
